brand,title,our_status,suggested_status,convert_name,convert_id,convert_status
GUY,Submits SF Lead - All,To do,Done,Submits SF Lead - All,1004113717,active
GUY,Submits SF Lead - Footer,To do,Done,Submits SF Lead - Footer,1004113718,active
GUY,Submits SF Lead - Hero,To do,Done,Submits SF Lead - Hero,1004113719,active
GUY,Views Service Pages,To do,Done,Views Service Pages,100473461,active
GUY,Views Testimonials,To do,Done,Views Testimonials Page,100473463,active
JUK,[Rev] Time Spent on Site (15s),To do,Done,[Rev] Time Spent on Site (15s),1004114715,active
JUK,Call Clicks,To do,Done,Call Clicks,1004108631,active
JUK,Clicks Any Scheduler CTA,To do,Done,Clicks Any Scheduler CTA,1004108640,active
JUK,Clicks Hero Scheduler CTA,To do,Done,Clicks Hero Scheduler CTA,1004110981,active
JUK,Clicks Learn More on Tiles,To do,Done,Clicks Learn More on Tiles,1004108638,active
JUK,Clicks Link in Navigation,To do,Done,Clicks Link/Button in Nav,1004120564,active
JUK,Clicks Nav Scheduler CTA,To do,Done,Clicks Nav Scheduler CTA,1004108639,active
JUK,Clicks Offer Section Scheduler CTA,To do,Done,Clicks on Offer Section Scheduler CTA,1004110534,active
JUK,Clicks Claim Offer CTA,To do,Done,Clicks Offer CTA - Claim Offer,1004122672,active
JUK,Clicks Testimonial CTA,To do,Done,Clicks Testimonial CTA,1004108632,active
JUK,Clicks Testimonial Scheduler CTA,To do,Done,Clicks Testimonial Scheduler CTA,1004108633,active
JUK,FLF: Views Step #1 | Contact Info,To do,Done,FLF: Views Step #1 | Contact Info,1004108641,active
JUK,FLF: Views Step #2 | Service Details,To do,Done,FLF: Views Step #2 | Service Details,1004108642,active
JUK,FLF: Views Step #3 | Calendar,To do,Done,FLF: Views Step #3 | Calendar,1004108643,active
JUK,Scrolled 100% - Natl. Homepage,To do,Done,Scrolled 100% - Natl. Homepage,1004114710,active
JUK,Scrolled 75% - Natl. Homepage,To do,Done,Scrolled 75% - Natl. Homepage,1004114709,active
JUK,Scrolled 50% - Natl. Homepage,To do,Done,Scrolled 50% - Natl. Homepage,1004114708,active
JUK,Scrolled 25% - Natl. Homepage,To do,Done,Scrolled 25% - Natl. Homepage,1004114707,active
JUK,Scrolled 100% - Local Homepage,To do,Done,Scrolled 100% - Local Homepage,1004114714,active
JUK,Scrolled 75% - Local Homepage,To do,Done,Scrolled 75% - Local Homepage,1004114713,active
JUK,Scrolled 50% - Local Homepage,To do,Done,Scrolled 50% - Local Homepage,1004114712,active
JUK,Scrolled 25% - Local Homepage,To do,Done,Scrolled 25% - Local Homepage,1004114711,active
JUK,Submits Form Lead - Combined,To do,Done,Submits Form Lead - Combined,1004108644,active
JUK,Submits LF Lead + Contact Us,To do,Done,Submits LF Lead + Contact Us,1004108648,active
JUK,Submits SF Lead - All,To do,Done,Submits SF Lead - All,1004108645,active
JUK,Submits SF Lead - Footer,To do,Done,Submits SF Lead - Footer,1004108646,active
JUK,Submits SF Lead - Hero,To do,Done,Submits SF Lead - Hero,1004108647,active
JUK,Views Special Offers,To do,Done,Views Special Offers Page,1004108649,active
JUK,Views Service Pages,To do,Done,Views Service Pages,1004108651,active
JUK,Views Testimonials,To do,Done,Views Testimonials Page,1004108652,active
MOJ,[Rev] Time Spent on Site (15s),To do,Done,[Rev] Time Spent on Site (15s),1004114897,active
MOJ,Call Clicks,To do,Done,Call Clicks,100481920,active
MOJ,Clicks Any Scheduler CTA,To do,Done,Clicks Any Scheduler CTA,100498368,active
MOJ,Clicks Hero Scheduler CTA,To do,Done,Clicks Hero Scheduler CTA,100496068,active
MOJ,Clicks Learn More on Tiles,To do,Done,Clicks Learn More on Tiles,100497884,active
MOJ,Clicks Nav Scheduler CTA,To do,Done,Clicks Nav Scheduler,1004100861,active
MOJ,Clicks Claim Offer CTA,To do,Done,Clicks Claim Offer CTA,1004107784,active
MOJ,Clicks Hero Reviews,To do,Done,Clicks Hero Reviews,1004122674,active
MOJ,Clicks Testimonial CTA,To do,Done,Clicks Testimonials CTA,100497881,active
MOJ,Clicks Testimonial Scheduler CTA,To do,Done,Clicks Testimonial Scheduler CTA,100497883,active
MOJ,Clicks Warranty CTA,To do,Done,Clicks CTA in Warranty/NDRP,100486874,active
MOJ,FLF: Views Step #1 | Contact Info,To do,Done,[Full Lead Flow] Step Reached | Contact Info,100486879,active
MOJ,FLF: Views Step #2 | Service Details,To do,Done,[Full Lead Flow] Step Reached | How Can We Help,100486880,active
MOJ,FLF: Views Step #3 | Calendar,To do,Done,[Full Lead Flow] Step Reached | Calendar,100497349,active
MOJ,Scrolled 100% - Natl. Homepage,To do,Done,Scrolled 100% - Natl. Homepage,1004114901,active
MOJ,Scrolled 75% - Natl. Homepage,To do,Done,Scrolled 75% - Natl. Homepage,1004114900,active
MOJ,Scrolled 50% - Natl. Homepage,To do,Done,Scrolled 50% - Natl. Homepage,1004114899,active
MOJ,Scrolled 25% - Natl. Homepage,To do,Done,Scrolled 25% - Natl. Homepage,1004114898,active
MOJ,Scrolled 100% - Local Homepage,To do,Done,Scrolled 100% - Local Homepage,1004114908,active
MOJ,Scrolled 75% - Local Homepage,To do,Done,Scrolled 75% - Local Homepage,1004114907,active
MOJ,Scrolled 50% - Local Homepage,To do,Done,Scrolled 50% - Local Homepage,1004114906,active
MOJ,Scrolled 25% - Local Homepage,To do,Done,Scrolled 25% - Local Homepage,1004114902,active
MOJ,Submits Form Lead - Combined,To do,Done,Submits Form Lead - Combined,1004100862,active
MOJ,Submits SF Lead - All,To do,Done,Submits SF Lead - All,100486883,active
MOJ,Submits SF Lead - Footer,To do,Done,Submits SF Lead - Footer,100486889,active
MOJ,Submits SF Lead - Hero,To do,Done,Submits SF Lead - Hero,100486886,active
MOJ,Views Special Offers,To do,Done,Views Special Offers,1004107785,active
MOJ,Views Service Pages,To do,Done,Views Service Pages,1004115270,active
MOJ,Views Testimonials,To do,Done,Views Testimonials Page,100497882,active
MRH,[Rev] Time Spent on Site (15s),To do,Done,[Rev] Time Spent on Site (15s),1004114969,active
MRH,Call Clicks,To do,Done,Call Clicks,100412761,active
MRH,Clicks Any Scheduler CTA,To do,Done,Clicks Any Scheduler CTA,1004114418,active
MRH,Clicks Learn More on Tiles,To do,Done,Clicks Learn More On Tiles,100491422,active
MRH,Clicks Link in Navigation,To do,Done,Clicks Nav Item,100477365,active
MRH,Clicks Nav Scheduler CTA,To do,Done,Clicks Nav Scheduler CTA,100477378,active
MRH,Clicks Hero Reviews,To do,Done,Clicks Hero Reviews,1004121639,active
MRH,Clicks Testimonial CTA,To do,Done,Clicks Testimonial CTA,100491396,active
MRH,Clicks Warranty CTA,To do,Done,Clicks Warranty CTA,100490237,active
MRH,FLF: Views Step #1 | Contact Info,To do,Done,FLF: Views Step #1 | Contact Info,100473983,active
MRH,FLF: Views Step #2 | Service Details,To do,Done,FLF: Views Step #2 | Service Details,100473984,active
MRH,FLF: Views Step #3 | Calendar,To do,Done,FLF: Views Step #3 | Calendar,1004107210,active
MRH,Scrolled 100% - Natl. Homepage,To do,Done,Scrolled 100% - Natl. Homepage,1004114975,active
MRH,Scrolled 75% - Natl. Homepage,To do,Done,Scrolled 75% - Natl. Homepage,1004114974,active
MRH,Scrolled 50% - Natl. Homepage,To do,Done,Scrolled 50% - Natl. Homepage,1004114973,active
MRH,Scrolled 25% - Natl. Homepage,To do,Done,Scrolled 25% - Natl. Homepage,1004114972,active
MRH,Submits Form Lead - Combined,To do,Done,Submits Form Lead - Combined,100491956,active
MRH,Submits LF Lead + Contact Us,To do,Done,Submits LF Lead + Contact Us,100412759,active
MRH,Submits SF Lead - All,To do,Done,Submits SF Lead - All,100494063,active
MRH,Submits SF Lead - Footer,To do,Done,Submits SF Lead - Footer,100491631,active
MRH,Submits SF Lead - Hero,To do,Done,Submits SF Lead - Hero,100491620,active
MRH,Views Special Offers,To do,Done,Views Local Special Offers Page,100477377,active
MRH,Views Financing,To do,Done,Views on financing page,1004121158,active
MRH,Views Service Pages,To do,Done,Views Service Page,100477372,active
MRH,Views Testimonials,To do,Done,Views Testimonials Page,100491399,active
MRR,[Rev] Time Spent on Site (15s),To do,Done,[Rev] Time Spent on Site (15s),1004114971,active
MRR,Call Clicks,To do,Done,Call Clicks,100421618,active
MRR,Clicks Any Scheduler CTA,To do,Done,Clicks Any Scheduler CTA,100493735,active
MRR,Clicks Learn More on Tiles,To do,Done,Clicks Learn More on Tiles,1004101672,active
MRR,Clicks Nav Scheduler CTA,To do,Done,Clicks Nav Scheduler CTA,100498452,active
MRR,Clicks Testimonial CTA,To do,Done,Clicks Testimonials View All CTA,1004100328,active
MRR,Clicks Testimonial Scheduler CTA,To do,Done,Clicks Testimonial Scheduler CTA,1004100327,active
MRR,FLF: Views Step #1 | Contact Info,To do,Done,FLF: Views Step #1 | Contact Info,100487061,active
MRR,FLF: Views Step #2 | Service Details,To do,Done,FLF: Views Step #2 | Service Details,100487056,active
MRR,FLF: Views Step #3 | Calendar,To do,Done,FLF: Views Step #3 | Calendar,100487059,active
MRR,Scrolled 100% - Natl. Homepage,To do,Done,Scrolled 100% - Natl. Homepage,1004114985,active
MRR,Scrolled 75% - Natl. Homepage,To do,Done,Scrolled 75% - Natl. Homepage,1004114984,active
MRR,Scrolled 50% - Natl. Homepage,To do,Done,Scrolled 50% - Natl. Homepage,1004114983,active
MRR,Scrolled 25% - Natl. Homepage,To do,Done,Scrolled 25% - Natl. Homepage,1004114982,active
MRR,Scrolled 100% - Local Homepage,To do,Done,Scrolled 100% - Local Homepage,1004114989,active
MRR,Scrolled 75% - Local Homepage,To do,Done,Scrolled 75% - Local Homepage,1004114988,active
MRR,Scrolled 50% - Local Homepage,To do,Done,Scrolled 50% - Local Homepage,1004114987,active
MRR,Scrolled 25% - Local Homepage,To do,Done,Scrolled 25% - Local Homepage,1004114986,active
MRR,Submits Form Lead - Combined,To do,Done,Submits Form Lead - Combined,100423041,active
MRR,Submits LF Lead + Contact Us,To do,Done,Submits LF Lead + Contact Us,100424754,active
MRR,Submits SF Lead - All,To do,Done,Submits SF Lead - All,100487039,active
MRR,Submits SF Lead - Footer,To do,Done,Submits SF Lead - Footer,100487041,active
MRR,Submits SF Lead - Hero,To do,Done,Submits SF Lead - Hero,100487040,active
MRR,Views Special Offers,To do,Done,Views Special Offers,100472827,active
MRR,Views Financing,To do,Done,Views Financing,100496919,active
MRR,Views Service Pages,To do,Done,Views Service Pages,1004101674,active
MRR,Views Testimonials,To do,Done,Views Testimonials,100498788,active
MRR,Chat Appointment Made,To do,Done,Chat Appointment Made,1004120862,active
MRR,Chat Started,To do,Done,Chat Started,1004120859,active
MRR,Chat Lead Submitted,To do,Done,Chat Lead Submitted,1004120861,active
MRE,[Rev] Time Spent on Site (15s),To do,Done,[Rev] Time Spent on Site (15 sec),1004110775,active
MRE,[Rev] Time Spent on Financing (15s),To do,Done,[Rev] Time Spent on Financing (15 sec),1004110826,active
MRE,Call Clicks,To do,Done,Call Clicks,100421362,active
MRE,Clicks Any Scheduler CTA,To do,Done,Clicks Any Scheduler CTA,1004101895,active
MRE,Clicks Hero SF Submit CTA,To do,Done,Click Hero Form Submit CTA,100451732,active
MRE,Clicks Learn More on Tiles,To do,Done,Clicks Learn More on Tiles,1004101889,active
MRE,Clicks Nav Scheduler CTA,To do,Done,Clicks Nav Scheduler CTA,1004101894,active
MRE,Clicks Offer Section Scheduler CTA,To do,Done,Clicks on Offer Section Scheduler CTA,100473802,active
MRE,Clicks Hero Reviews,To do,Done,[MRE 65] Clicks Hero Reviews,1004115149,active
MRE,Clicks Testimonial CTA,To do,Done,Clicks Testimonial CTA,100472980,active
MRE,Clicks Testimonial Scheduler CTA,To do,Done,Clicks Testimonial Scheduler CTA,100473632,active
MRE,FLF: Views Step #1 | Contact Info,To do,Done,FLF: Views Step #1 | Contact Info,1004114959,active
MRE,FLF: Views Step #2 | Service Details,To do,Done,FLF: Views Step #2 | Service Details,1004114960,active
MRE,FLF: Views Step #3 | Calendar,To do,Done,FLF: Views Step #3 | Calendar,1004114961,active
MRE,Scrolled 100% - Natl. Homepage,To do,Done,Scrolled 100% - Natl. Homepage,1004114968,active
MRE,Scrolled 75% - Natl. Homepage,To do,Done,Scrolled 75% - Natl. Homepage,1004114967,active
MRE,Scrolled 50% - Natl. Homepage,To do,Done,Scrolled 50% - Natl. Homepage,1004114966,active
MRE,Scrolled 25% - Natl. Homepage,To do,Done,Scrolled 25% - Natl. Homepage,1004114965,active
MRE,Submits Form Lead - Combined,To do,Done,Submits Form Lead - Combined,1004101887,active
MRE,Submits SF Lead - All,To do,Done,Submits SF Lead - All [if no CF 07.2],1004100097,active
MRE,Submits SF Lead - Footer,To do,Done,Submits SF Lead - Footer [if no CF 07.2],1004100099,active
MRE,Submits SF Lead - Hero,To do,Done,Submits SF Lead - Hero [if no CF 07.2],1004100098,active
MRE,Views Special Offers,To do,Done,Visits Special Offers Page,100472821,active
MRE,Views Service Pages,To do,Done,Views Services Page,100472979,active
MRE,Views Testimonials,To do,Done,Views Testimonials Page,100472981,active
MRE,Chat Appointment Made,To do,Done,Chat Appointment Made,1004120804,active
MRE,Chat Started,To do,Done,Chat Started,1004120802,active
MRE,Chat Lead Submitted,To do,Done,Chat Lead Submitted,1004120803,active
